,customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy_level,renew_offer_type,sales_channel,vehicle_class,vehicle_size,number_of_open_complaints,number_of_policies
24,HM55802,California,No,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Corporate Auto,2,Offer2,Branch,Four-Door Car,Medsize,0,1
25,FS42516,Oregon,No,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Call Center,Four-Door Car,Large,0,3
26,US89481,California,No,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,0,1
27,HO30839,Washington,No,Extended,Master,2011-02-12,Disabled,F,Urban,Married,Corporate Auto,1,Offer1,Branch,SUV,Medsize,0,1
28,GE62437,Arizona,No,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal Auto,3,Offer1,Call Center,Four-Door Car,Large,2,2
29,EJ77678,Oregon,No,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Personal Auto,3,Offer2,Branch,Four-Door Car,Small,1,1
30,SV85652,Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal Auto,2,Offer4,Call Center,Four-Door Car,Small,1,1
31,UL64533,Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate Auto,2,Offer2,Agent,Luxury SUV,Medsize,0,6
32,PF41800,California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal Auto,3,Offer1,Call Center,Four-Door Car,Medsize,0,3
33,AO98601,Washington,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate Auto,2,Offer1,Agent,Two-Door Car,Small,0,6
34,SK67821,Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate Auto,1,Offer3,Web,Four-Door Car,Medsize,0,8
35,YV55495,Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal Auto,1,Offer1,Branch,Four-Door Car,Medsize,0,6
36,KY38074,California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,0,2
37,DM79012,Oregon,No,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal Auto,3,Offer2,Web,Four-Door Car,Small,0,8
38,CM61827,Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal Auto,2,Offer3,Agent,Two-Door Car,Small,0,1
39,WC35801,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal Auto,3,Offer1,Call Center,Four-Door Car,Medsize,2,1
40,QG25316,Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate Auto,3,Offer3,Call Center,Two-Door Car,Medsize,1,1
41,MB98372,Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate Auto,3,Offer2,Agent,Two-Door Car,Medsize,0,1
42,IL19217,California,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal Auto,2,Offer2,Agent,Four-Door Car,Small,0,1
43,SR38658,Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal Auto,2,Offer4,Agent,Sports Car,Medsize,0,2
44,DH41343,Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special Auto,2,Offer2,Call Center,Four-Door Car,Large,0,1
45,HG65722,Oregon,No,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Personal Auto,2,Offer1,Branch,SUV,Medsize,3,3
46,BU27331,Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,Offer3,Call Center,Four-Door Car,Medsize,3,5
47,XM45289,Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal Auto,2,Offer4,Agent,Two-Door Car,Medsize,0,4
48,KP34198,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate Auto,2,Offer2,Call Center,Four-Door Car,Medsize,0,1
49,SH90947,Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal Auto,2,Offer4,Branch,Four-Door Car,Medsize,0,1
50,WE95729,Oregon,No,Basic,College,2011-01-17,Employed,M,Suburban,Married,Personal Auto,2,Offer1,Agent,SUV,Small,0,2
51,PY51963,California,Yes,Basic,Bachelor,2011-01-11,Employed,F,Suburban,Divorced,Corporate Auto,1,Offer1,Web,SUV,Medsize,0,2
52,RB69909,Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special Auto,1,Offer4,Branch,Four-Door Car,Medsize,3,2
53,XR95069,Washington,No,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal Auto,3,Offer4,Agent,Four-Door Car,Medsize,0,3
54,FR46645,California,No,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal Auto,2,Offer1,Branch,Four-Door Car,Small,0,1
55,SY17488,Arizona,No,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate Auto,3,Offer3,Call Center,Four-Door Car,Small,0,3
56,AP67935,California,No,Basic,College,2011-02-13,Employed,M,Urban,Married,Special Auto,2,Offer2,Branch,Four-Door Car,Medsize,0,2
57,FS37417,Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal Auto,2,Offer1,Call Center,SUV,Small,0,1
58,ML29312,Oregon,No,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Personal Auto,3,Offer1,Call Center,SUV,Medsize,2,1
59,UB61619,Oregon,No,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Personal Auto,1,Offer1,Agent,Four-Door Car,Medsize,0,1
60,CD86811,Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal Auto,1,Offer1,Agent,Four-Door Car,Medsize,1,3
61,RU83859,California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal Auto,3,Offer1,Call Center,Two-Door Car,Small,0,6
62,FG63582,Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Two-Door Car,Small,0,1
63,NN71951,California,No,Basic,High School or Below,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,Offer1,Agent,SUV,Medsize,0,2
64,WB37082,Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,3,Offer3,Branch,Four-Door Car,Large,0,2
65,SM52139,Washington,No,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal Auto,3,Offer3,Web,Four-Door Car,Medsize,0,1
66,FL82372,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate Auto,3,Offer1,Agent,SUV,Medsize,0,3
67,DP45816,Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal Auto,3,Offer4,Branch,Two-Door Car,Small,0,2
68,GW33762,Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,3,Offer1,Call Center,Two-Door Car,Large,0,5
69,RZ33670,California,No,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal Auto,3,Offer3,Web,Four-Door Car,Medsize,0,2
70,PY70169,Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,Rural,Divorced,Personal Auto,3,Offer4,Agent,SUV,Medsize,0,2
71,MO91628,Oregon,No,Basic,Master,2011-02-11,Employed,M,Rural,Married,Personal Auto,2,Offer2,Web,Two-Door Car,Large,0,1
72,HW87852,Oregon,No,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Personal Auto,1,Offer1,Agent,Four-Door Car,Medsize,2,1
73,HB20453,Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Sports Car,Medsize,1,5
74,BN87372,Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal Auto,3,Offer2,Branch,Two-Door Car,Medsize,3,9
75,YX23800,Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Branch,Four-Door Car,Small,0,2
76,DZ87709,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal Auto,1,Offer2,Call Center,Four-Door Car,Medsize,0,6
77,XW13033,Nevada,No,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal Auto,1,Offer2,Agent,Four-Door Car,Medsize,0,2
78,LN31673,Washington,No,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,2,2
79,OM82309,California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Single,Personal Auto,3,Offer2,Branch,Luxury Car,Small,1,2
80,ZU35962,California,No,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal Auto,3,Offer3,Branch,Two-Door Car,Large,0,2
81,VH85817,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,3,Offer2,Call Center,Four-Door Car,Medsize,0,8
82,DT85712,California,No,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Personal Auto,1,Offer3,Branch,SUV,Medsize,0,1
83,YJ88573,Nevada,No,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Call Center,Four-Door Car,Large,0,1
84,SQ19467,Oregon,No,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal Auto,3,Offer2,Agent,Four-Door Car,Small,0,3
85,HF88410,Washington,No,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal Auto,2,Offer1,Call Center,Four-Door Car,Medsize,1,2
86,ET79815,California,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal Auto,1,Offer1,Agent,Four-Door Car,Medsize,5,5
87,QC35222,California,No,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate Auto,2,Offer3,Web,Four-Door Car,Medsize,3,1
88,CJ15590,Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal Auto,2,Offer3,Branch,Four-Door Car,Medsize,0,1
89,OI48267,California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,3,Offer1,Branch,Four-Door Car,Medsize,1,4
90,JY67916,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,3,Offer2,Branch,Two-Door Car,Small,1,2
91,OE75231,Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate Auto,3,Offer2,Call Center,Two-Door Car,Medsize,0,2
92,CZ33664,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,1
93,WK30175,Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate Auto,1,Offer1,Branch,Two-Door Car,Small,0,1
94,ON44465,California,No,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal Auto,2,Offer1,Agent,Four-Door Car,Medsize,1,9
95,TV87155,Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Personal Auto,3,Offer1,Branch,Four-Door Car,Large,1,2
96,KH48895,Arizona,No,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Personal Auto,3,Offer1,Branch,SUV,Medsize,0,9
97,NZ30757,California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal Auto,2,Offer1,Agent,Four-Door Car,Medsize,0,8
98,RI22468,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal Auto,1,Offer3,Web,Four-Door Car,Medsize,3,9
99,FZ30935,Oregon,No,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal Auto,2,Offer1,Agent,Two-Door Car,Small,0,7
100,UG93476,California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal Auto,3,Offer1,Agent,SUV,Medsize,0,3
101,AB96670,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,1,Offer1,Branch,Four-Door Car,Medsize,0,1
102,XK64261,Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate Auto,3,Offer3,Call Center,Two-Door Car,Medsize,1,3
103,EV68375,California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Branch,Four-Door Car,Medsize,0,1
104,UN51653,California,No,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Web,SUV,Medsize,0,4
105,TO96662,Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal Auto,3,Offer1,Call Center,Four-Door Car,Small,0,9
106,MR52087,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,1,Offer3,Branch,Four-Door Car,Medsize,0,2
107,DE75225,Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal Auto,1,Offer1,Agent,SUV,Medsize,1,3
108,EP80820,California,No,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,Offer1,Agent,Two-Door Car,Medsize,0,9
109,GU99037,Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate Auto,1,Offer4,Agent,Four-Door Car,Medsize,1,1
110,WI57118,California,No,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal Auto,3,Offer4,Agent,Four-Door Car,Small,0,7
111,YQ74870,Washington,No,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate Auto,2,Offer2,Web,Four-Door Car,Small,1,8
112,MQ14219,Arizona,No,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Branch,SUV,Medsize,0,7
113,KN20603,Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,2,2
114,CR48975,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,2,Offer4,Branch,Four-Door Car,Medsize,0,2
115,JI70886,California,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate Auto,2,Offer1,Agent,SUV,Medsize,1,3
116,VF72557,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal Auto,3,Offer2,Agent,SUV,Medsize,0,1
117,OX28638,Arizona,No,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,3,Offer2,Branch,Two-Door Car,Medsize,0,9
118,SK55033,California,No,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal Auto,2,Offer3,Agent,Two-Door Car,Medsize,0,1
119,OO88645,California,No,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate Auto,2,Offer2,Call Center,Four-Door Car,Medsize,2,1
120,YT36855,Washington,No,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal Auto,2,Offer3,Web,Two-Door Car,Medsize,0,1
121,CW82151,California,No,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal Auto,3,Offer1,Call Center,Sports Car,Medsize,0,9
122,DY22043,Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal Auto,3,Offer3,Branch,Two-Door Car,Small,0,7
123,SH36774,California,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal Auto,3,Offer3,Web,Luxury SUV,Medsize,0,3
124,EM43724,Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,0,1
125,FH85960,Oregon,No,Premium,College,2011-01-03,Employed,M,Suburban,Divorced,Personal Auto,2,Offer1,Call Center,Four-Door Car,Medsize,1,2
126,XA55993,Oregon,No,Extended,Master,2011-02-07,Employed,F,Rural,Single,Personal Auto,3,Offer2,Branch,Four-Door Car,Medsize,0,1
127,GO36627,Arizona,No,Extended,College,2011-01-13,Employed,M,Urban,Married,Special Auto,2,Offer1,Branch,Four-Door Car,Medsize,0,1
128,QH48047,Oregon,Yes,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal Auto,2,Offer2,Web,Four-Door Car,Medsize,0,2
129,RB50392,Washington,No,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Personal Auto,1,Offer2,Agent,Four-Door Car,Medsize,0,2
130,UH65059,Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,3,Offer1,Agent,Sports Car,Medsize,0,1
131,FV21968,Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special Auto,2,Offer1,Branch,Four-Door Car,Medsize,0,8
132,QA87025,Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal Auto,3,Offer1,Call Center,Four-Door Car,Medsize,1,4
133,TQ13499,Arizona,No,Premium,College,2011-01-02,Employed,M,Suburban,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,0,1
134,BU44523,Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate Auto,2,Offer1,Web,Four-Door Car,Small,0,2
135,MS41162,Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,SUV,Medsize,0,1
136,PU25891,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special Auto,2,Offer1,Branch,Sports Car,Medsize,0,3
137,RB81636,Washington,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,2,Offer2,Agent,Four-Door Car,Small,0,1
138,SX26335,Oregon,No,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal Auto,3,Offer4,Branch,Four-Door Car,Medsize,0,2
139,AZ95587,Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special Auto,3,Offer3,Branch,Four-Door Car,Small,0,2
140,DS81757,Oregon,No,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal Auto,1,Offer4,Web,Two-Door Car,Large,0,1
141,OJ94107,Arizona,No,Premium,Master,2011-02-04,Employed,M,Urban,Married,Personal Auto,2,Offer1,Call Center,SUV,Medsize,0,1
142,LP84436,California,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal Auto,2,Offer3,Branch,Sports Car,Medsize,0,6
143,YV64727,Washington,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate Auto,3,Offer3,Agent,SUV,Medsize,0,1
144,LM19287,Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal Auto,1,Offer1,Agent,Four-Door Car,Large,0,1
145,ZU18643,Nevada,No,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Corporate Auto,2,Offer4,Web,Four-Door Car,Medsize,0,1
146,AZ82578,California,No,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate Auto,3,Offer1,Call Center,Four-Door Car,Medsize,0,2
147,XC67861,Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate Auto,2,Offer1,Call Center,Two-Door Car,Medsize,3,4
148,YC43143,Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal Auto,3,Offer2,Web,Four-Door Car,Medsize,0,3
149,EK59571,Oregon,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,2,Offer1,Branch,Four-Door Car,Large,0,1
150,GD83998,Washington,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal Auto,2,Offer4,Branch,Four-Door Car,Small,0,1
151,WA25797,Washington,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal Auto,3,Offer2,Agent,Sports Car,Medsize,0,9
152,PD27940,Arizona,No,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal Auto,3,Offer4,Agent,SUV,Medsize,0,1
153,BS77946,Arizona,No,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal Auto,1,Offer1,Branch,SUV,Medsize,0,3
154,YM50253,California,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal Auto,3,Offer2,Branch,Four-Door Car,Medsize,0,1
155,NR15332,California,No,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal Auto,2,Offer2,Web,Four-Door Car,Small,0,1
156,RC62865,Oregon,No,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal Auto,2,Offer3,Agent,Four-Door Car,Medsize,0,1
157,CC15295,Oregon,No,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal Auto,2,Offer2,Agent,Four-Door Car,Small,0,2
158,KA61892,Arizona,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,3,Offer2,Agent,Sports Car,Medsize,0,1
159,OS94884,Arizona,No,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal Auto,2,Offer1,Web,Two-Door Car,Large,1,2
160,ND87334,California,No,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate Auto,3,Offer2,Agent,Two-Door Car,Medsize,0,1
161,ML93326,Washington,No,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal Auto,1,Offer1,Agent,SUV,Medsize,0,1
162,YL74911,California,Yes,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal Auto,3,Offer1,Agent,SUV,Medsize,0,4
163,JP69864,Washington,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal Auto,1,Offer1,Branch,Four-Door Car,Medsize,1,1
164,HL53154,California,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Medsize,2,2
165,RI78966,Oregon,No,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,0,2
166,IC13702,California,No,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Personal Auto,3,Offer1,Agent,Four-Door Car,Small,1,2
167,BE10809,California,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal Auto,1,Offer1,Agent,Four-Door Car,Small,1,7
168,HT87217,Oregon,No,Extended,High School or Below,2011-01-16,Employed,F,Urban,Divorced,Personal Auto,2,Offer3,Agent,Four-Door Car,Medsize,0,2
169,TH95618,California,No,Basic,High School or Below,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,2,Offer1,Agent,Four-Door Car,Medsize,1,2
170,TS19868,California,No,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,1,Offer4,Branch,Four-Door Car,Medsize,0,1
171,LP45550,Oregon,No,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Personal Auto,3,Offer2,Agent,Four-Door Car,Medsize,0,2
172,QR87004,Nevada,No,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal Auto,3,Offer3,Agent,Four-Door Car,Medsize,1,2
173,OE75747,Nevada,No,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal Auto,2,Offer3,Agent,Four-Door Car,Small,3,1
174,DX91392,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,2,Offer2,Call Center,Four-Door Car,Medsize,0,8
175,AB72731,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,2,Offer2,Call Center,Sports Car,Medsize,0,1
176,RU49126,Washington,No,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal Auto,2,Offer2,Agent,SUV,Medsize,0,1
